Country,Last 6 months Clicks,Previous 6 months Clicks,Last 6 months Impressions,Previous 6 months Impressions,Last 6 months CTR,Previous 6 months CTR,Last 6 months Position,Previous 6 months Position
India,12,0,109,0,11.01%,0%,21.98,0
United States,6,0,605,0,0.99%,0%,34.6,0
Australia,1,0,85,0,1.18%,0%,32.92,0
Sri Lanka,1,0,35,0,2.86%,0%,4.63,0
Thailand,1,0,28,0,3.57%,0%,23.46,0
New Zealand,1,0,20,0,5%,0%,41.5,0
Ireland,1,0,6,0,16.67%,0%,18.33,0
Hungary,1,0,1,0,100%,0%,4,0
United Kingdom,0,0,196,0,0%,0%,52.45,0
Canada,0,0,101,0,0%,0%,56.31,0
Vietnam,0,0,48,0,0%,0%,29.56,0
Philippines,0,0,42,0,0%,0%,27.62,0
United Arab Emirates,0,0,27,0,0%,0%,7.81,0
Indonesia,0,0,26,0,0%,0%,26.35,0
Malaysia,0,0,21,0,0%,0%,25.71,0
Singapore,0,0,17,0,0%,0%,44.88,0
Netherlands,0,0,15,0,0%,0%,26.2,0
Germany,0,0,15,0,0%,0%,29.8,0
Spain,0,0,15,0,0%,0%,30.87,0
Bangladesh,0,0,14,0,0%,0%,26.86,0
China,0,0,10,0,0%,0%,8.5,0
Pakistan,0,0,10,0,0%,0%,40.1,0
Mexico,0,0,9,0,0%,0%,21.67,0
Turkey,0,0,9,0,0%,0%,28.44,0
Poland,0,0,9,0,0%,0%,32.44,0
Morocco,0,0,9,0,0%,0%,38.22,0
Russia,0,0,8,0,0%,0%,27.38,0
Jordan,0,0,8,0,0%,0%,29.12,0
Ukraine,0,0,8,0,0%,0%,31.88,0
France,0,0,7,0,0%,0%,13.29,0
Brazil,0,0,6,0,0%,0%,12.67,0
Algeria,0,0,5,0,0%,0%,28.2,0
Israel,0,0,5,0,0%,0%,39.4,0
Cambodia,0,0,5,0,0%,0%,42.8,0
Norway,0,0,4,0,0%,0%,7.75,0
Myanmar (Burma),0,0,4,0,0%,0%,19.5,0
Croatia,0,0,3,0,0%,0%,2.67,0
Argentina,0,0,3,0,0%,0%,4,0
Belgium,0,0,3,0,0%,0%,4.67,0
Japan,0,0,3,0,0%,0%,9.33,0
Denmark,0,0,3,0,0%,0%,29.67,0
Romania,0,0,3,0,0%,0%,36.33,0
South Korea,0,0,3,0,0%,0%,41.67,0
Austria,0,0,2,0,0%,0%,4.5,0
Greece,0,0,2,0,0%,0%,6,0
Italy,0,0,2,0,0%,0%,6,0
Bulgaria,0,0,2,0,0%,0%,7.5,0
Brunei,0,0,2,0,0%,0%,8.5,0
Kenya,0,0,2,0,0%,0%,9,0
Hong Kong,0,0,2,0,0%,0%,9.5,0
Nepal,0,0,2,0,0%,0%,9.5,0
Taiwan,0,0,2,0,0%,0%,10,0
Saudi Arabia,0,0,2,0,0%,0%,46,0
Egypt,0,0,2,0,0%,0%,49.5,0
Chile,0,0,1,0,0%,0%,1,0
Ghana,0,0,1,0,0%,0%,2,0
Nigeria,0,0,1,0,0%,0%,2,0
Slovenia,0,0,1,0,0%,0%,2,0
Guatemala,0,0,1,0,0%,0%,3,0
Czechia,0,0,1,0,0%,0%,5,0
Venezuela,0,0,1,0,0%,0%,7,0
Iran,0,0,1,0,0%,0%,8,0
Palau,0,0,1,0,0%,0%,8,0
Tunisia,0,0,1,0,0%,0%,9,0
Colombia,0,0,1,0,0%,0%,10,0
Slovakia,0,0,1,0,0%,0%,10,0
Bhutan,0,0,1,0,0%,0%,11,0
Sweden,0,0,1,0,0%,0%,11,0
Trinidad & Tobago,0,0,1,0,0%,0%,11,0
Uganda,0,0,1,0,0%,0%,11,0
Uzbekistan,0,0,1,0,0%,0%,34,0
Portugal,0,0,1,0,0%,0%,35,0
Qatar,0,0,1,0,0%,0%,36,0
Kazakhstan,0,0,1,0,0%,0%,44,0
