Country,Clicks,Impressions,CTR,Position
India,12,109,11.01%,21.98
United States,6,605,0.99%,34.6
Australia,1,85,1.18%,32.92
Sri Lanka,1,35,2.86%,4.63
Thailand,1,28,3.57%,23.46
New Zealand,1,20,5%,41.5
Ireland,1,6,16.67%,18.33
Hungary,1,1,100%,4
United Kingdom,0,196,0%,52.45
Canada,0,101,0%,56.31
Vietnam,0,48,0%,29.56
Philippines,0,42,0%,27.62
United Arab Emirates,0,27,0%,7.81
Indonesia,0,26,0%,26.35
Malaysia,0,21,0%,25.71
Singapore,0,17,0%,44.88
Netherlands,0,15,0%,26.2
Germany,0,15,0%,29.8
Spain,0,15,0%,30.87
Bangladesh,0,14,0%,26.86
China,0,10,0%,8.5
Pakistan,0,10,0%,40.1
Mexico,0,9,0%,21.67
Turkey,0,9,0%,28.44
Poland,0,9,0%,32.44
Morocco,0,9,0%,38.22
Russia,0,8,0%,27.38
Jordan,0,8,0%,29.12
Ukraine,0,8,0%,31.88
France,0,7,0%,13.29
Brazil,0,6,0%,12.67
Algeria,0,5,0%,28.2
Israel,0,5,0%,39.4
Cambodia,0,5,0%,42.8
Norway,0,4,0%,7.75
Myanmar (Burma),0,4,0%,19.5
Croatia,0,3,0%,2.67
Argentina,0,3,0%,4
Belgium,0,3,0%,4.67
Japan,0,3,0%,9.33
Denmark,0,3,0%,29.67
Romania,0,3,0%,36.33
South Korea,0,3,0%,41.67
Austria,0,2,0%,4.5
Greece,0,2,0%,6
Italy,0,2,0%,6
Bulgaria,0,2,0%,7.5
Brunei,0,2,0%,8.5
Kenya,0,2,0%,9
Hong Kong,0,2,0%,9.5
Nepal,0,2,0%,9.5
Taiwan,0,2,0%,10
Saudi Arabia,0,2,0%,46
Egypt,0,2,0%,49.5
Chile,0,1,0%,1
Ghana,0,1,0%,2
Nigeria,0,1,0%,2
Slovenia,0,1,0%,2
Guatemala,0,1,0%,3
Czechia,0,1,0%,5
Venezuela,0,1,0%,7
Iran,0,1,0%,8
Palau,0,1,0%,8
Tunisia,0,1,0%,9
Colombia,0,1,0%,10
Slovakia,0,1,0%,10
Bhutan,0,1,0%,11
Sweden,0,1,0%,11
Trinidad & Tobago,0,1,0%,11
Uganda,0,1,0%,11
Uzbekistan,0,1,0%,34
Portugal,0,1,0%,35
Qatar,0,1,0%,36
Kazakhstan,0,1,0%,44
