Country,Clicks,Impressions,CTR,Position
United States,6,497,1.21%,30.63
India,3,91,3.3%,22.63
Australia,1,70,1.43%,28.99
Thailand,1,28,3.57%,23.46
New Zealand,1,20,5%,41.5
Ireland,1,6,16.67%,18.33
Sri Lanka,1,5,20%,3.8
Hungary,1,1,100%,4
United Kingdom,0,186,0%,52.18
Canada,0,97,0%,55.74
Vietnam,0,48,0%,29.56
Philippines,0,40,0%,26
United Arab Emirates,0,27,0%,7.81
Indonesia,0,24,0%,25.62
Malaysia,0,19,0%,23.79
Bangladesh,0,14,0%,26.86
Singapore,0,14,0%,39.21
Spain,0,13,0%,28.92
China,0,10,0%,8.5
Germany,0,9,0%,9.67
Netherlands,0,8,0%,11.75
Mexico,0,8,0%,24
Turkey,0,8,0%,28.5
Jordan,0,8,0%,29.12
Ukraine,0,8,0%,31.88
Poland,0,8,0%,35.12
Morocco,0,8,0%,38.88
France,0,7,0%,13.29
Russia,0,7,0%,29.71
Pakistan,0,6,0%,35.67
Brazil,0,5,0%,7.4
Algeria,0,5,0%,28.2
Norway,0,4,0%,7.75
Myanmar (Burma),0,4,0%,19.5
Cambodia,0,4,0%,44
Croatia,0,3,0%,2.67
Argentina,0,3,0%,4
Belgium,0,3,0%,4.67
Japan,0,3,0%,9.33
Israel,0,3,0%,29
Romania,0,3,0%,36.33
Greece,0,2,0%,6
Italy,0,2,0%,6
Bulgaria,0,2,0%,7.5
Brunei,0,2,0%,8.5
Kenya,0,2,0%,9
Hong Kong,0,2,0%,9.5
Nepal,0,2,0%,9.5
Taiwan,0,2,0%,10
Denmark,0,2,0%,13
South Korea,0,2,0%,24
Chile,0,1,0%,1
Ghana,0,1,0%,2
Nigeria,0,1,0%,2
Slovenia,0,1,0%,2
Guatemala,0,1,0%,3
Czechia,0,1,0%,5
Venezuela,0,1,0%,7
Austria,0,1,0%,8
Iran,0,1,0%,8
Palau,0,1,0%,8
Tunisia,0,1,0%,9
Colombia,0,1,0%,10
Slovakia,0,1,0%,10
Bhutan,0,1,0%,11
Sweden,0,1,0%,11
Trinidad & Tobago,0,1,0%,11
Uganda,0,1,0%,11
Portugal,0,1,0%,35
Qatar,0,1,0%,36
Saudi Arabia,0,1,0%,49
