formFactor,label,path,performanceScore,accessibilityScore,fcpMs,lcpMs,cls,tbtMs,speedIndexMs,totalByteWeight
mobile,Homepage,/,0.99,1,920.0340000000001,1001.0340000000001,0,95,1035.4099542175986,473934
mobile,Cornerstone article,/articles/four-noble-truths-explained-simply/,1,1,904.7698,919.7698,0,66.5,1065.9118596227365,495752
mobile,Learning page,/learn/buddhism-101/what-is-mindfulness/,1,1,753.8771999999999,903.8771999999999,0,80.5,1310.2019430080359,488753
mobile,Quote story,/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,1,1,756.2171000000001,1056.2171,0,89,756.2171000000001,209642
mobile,Daily reflection,/daily-reflections/one-honest-breath/,1,1,752.7584999999999,968.7584999999999,0,26.5,752.7584999999999,206920
mobile,Meditation page,/meditation/breathing-meditation/,1,1,753.3907999999999,1043.3908,0,50.80459999999994,753.3907999999999,208288
mobile,Topic hub,/quotes/mindfulness/,1,1,752.3977,961.3977,0,90,752.3977,209546
mobile,Search,/search/,1,1,755.8958,914.8958,0,38,755.8958,205697
mobile,Tools,/tools/,1,1,1055.9326,1097.9326,0,32,1055.9326,220217
mobile,Privacy,/privacy-policy/,1,1,753.6297,903.6297,0,19,753.6297,206715
desktop,Homepage,/,1,1,251.38240000000002,451.3824000000001,0.0003632681237862187,0,415.2865781279154,764086
desktop,Cornerstone article,/articles/four-noble-truths-explained-simply/,1,1,244.74059999999997,244.74059999999997,0.0003632681237862187,0,440.6720844506567,496004
desktop,Learning page,/learn/buddhism-101/what-is-mindfulness/,1,1,204.086,244.086,0.0003632681237862187,0,438.6744890616339,488845
desktop,Quote story,/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,1,1,203.55079999999998,283.5508,0.0003632681237862187,0,203.55079999999998,295732
desktop,Daily reflection,/daily-reflections/one-honest-breath/,1,1,202.25439999999998,242.25439999999998,0.0003632681237862187,0,202.25439999999998,206920
desktop,Meditation page,/meditation/breathing-meditation/,1,1,202.39190000000002,242.39190000000002,0.0003632681237862187,0,202.39190000000002,209031
desktop,Topic hub,/quotes/mindfulness/,1,1,204.34050000000002,250.92562500000003,0.0003632681237862187,0,204.34050000000002,337024
desktop,Search,/search/,1,1,202.82729999999998,282.8273,0.0003632681237862187,0,202.82729999999998,206453
desktop,Tools,/tools/,1,1,284.1306,294.1306,0.0003632681237862187,0,284.1306,220227
desktop,Privacy,/privacy-policy/,1,1,203.5376,254.5376,0.0003632681237862187,0,203.5376,205962
