formFactor,label,path,performanceScore,accessibilityScore,fcpMs,lcpMs,cls,tbtMs,speedIndexMs,totalByteWeight
mobile,Homepage,/,0.6,1,4562.4025,7336.554,0,77,7650.217288016128,517033
mobile,Cornerstone article,/articles/four-noble-truths-explained-simply/,0.93,1,1838.155,1915.784,0,273.952,1895.8509490573122,515616
mobile,Learning page,/learn/buddhism-101/what-is-mindfulness/,0.94,1,1790.2080000000003,2541.1910000000007,0,156,2374.587578516961,507716
mobile,Quote story,/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,0.83,1,1847.865,4131.405,0,109,4000.926031978964,228332
mobile,Daily reflection,/daily-reflections/one-honest-breath/,0.78,1,1938.841,2088.841,0,781.1359999999995,2849.0032240440923,225499
mobile,Meditation page,/meditation/breathing-meditation/,0.8,1,2769.3489999999997,2837.8489999999997,0,438.5,2963.3304928669586,226953
mobile,Topic hub,/quotes/mindfulness/,0.81,1,2155.443,2305.443,0,581.7344999999998,2155.443,228135
mobile,Search,/search/,0.8,1,1834.3769999999997,4338.727,0,152,4028.1039739680764,224139
mobile,Tools,/tools/,0.96,1,2169.5960000000005,2420.4860000000003,0,35,2278.1920020277144,240418
mobile,Privacy,/privacy-policy/,0.98,1,1697.382,1961.8480000000004,0,100.99999999999977,2622.2616920237415,225112
desktop,Homepage,/,0.99,1,690.51,886.8479999999998,0.0003632681237862187,5,703.8588108157176,790104
desktop,Cornerstone article,/articles/four-noble-truths-explained-simply/,0.96,1,990.062,1131.739,0.0003632681237862187,0,990.062,515802
desktop,Learning page,/learn/buddhism-101/what-is-mindfulness/,1,1,617.3539999999999,659.1149999999999,0.0003632681237862187,0,662.8960550615591,507385
desktop,Quote story,/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,1,1,563.045,708.063,0.0003632681237862187,0,563.045,316332
desktop,Daily reflection,/daily-reflections/one-honest-breath/,1,1,630.3389999999999,708.223,0.0003632681237862187,0,630.3389999999999,225502
desktop,Meditation page,/meditation/breathing-meditation/,1,1,634.4159999999999,699.8100000000001,0.0003632681237862187,0,659.349539991048,226802
desktop,Topic hub,/quotes/mindfulness/,0.99,1,606.605,794.672,0.0003632681237862187,0,610.007386838307,358569
desktop,Search,/search/,1,1,565.17,706.963,0.0003632681237862187,0,565.17,224150
desktop,Tools,/tools/,0.99,1,734.1739999999999,822.8619999999999,0.0003632681237862187,0,734.1739999999999,241251
desktop,Privacy,/privacy-policy/,0.99,1,619.7829999999999,834.3739999999998,0.0003632681237862187,0,619.7829999999999,224449
