Page,Viewport,Width,Height,Status,H1,Main,Overflow,Navigation items,Current nav,Console errors,Pass
/,small-phone,360,800,200,1,1,false,5,0,0,PASS
/start-here/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/learn/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/learn/buddhism-for-beginners/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/learn/four-noble-truths/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/learn/eightfold-path/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/meditation/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/meditation/meditation-for-beginners/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/meditation/walking-meditation/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/articles/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/articles/four-noble-truths-explained-simply/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/quotes/,small-phone,360,800,200,1,1,false,5,0,0,PASS
/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,small-phone,360,800,200,1,1,false,5,0,0,PASS
/daily-reflections/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/daily-reflections/one-honest-breath/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/learn/buddhist-dictionary/metta/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/search/,small-phone,360,800,200,1,1,false,5,0,0,PASS
/tools/,small-phone,360,800,200,1,1,false,5,0,0,PASS
/about/,small-phone,360,800,200,1,1,false,5,0,0,PASS
/editorial-policy/,small-phone,360,800,200,1,1,false,5,0,0,PASS
/buddhist-sources-and-citations/,small-phone,360,800,200,1,1,false,5,0,0,PASS
/corrections/,small-phone,360,800,200,1,1,false,5,0,0,PASS
/contact/,small-phone,360,800,200,1,1,false,5,0,0,PASS
/meditation-safety/,small-phone,360,800,200,1,1,false,5,1,0,PASS
/404.html,small-phone,360,800,200,1,1,false,5,0,0,PASS
/,large-phone,390,844,200,1,1,false,5,0,0,PASS
/start-here/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/learn/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/learn/buddhism-for-beginners/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/learn/four-noble-truths/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/learn/eightfold-path/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/meditation/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/meditation/meditation-for-beginners/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/meditation/walking-meditation/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/articles/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/articles/four-noble-truths-explained-simply/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/quotes/,large-phone,390,844,200,1,1,false,5,0,0,PASS
/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,large-phone,390,844,200,1,1,false,5,0,0,PASS
/daily-reflections/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/daily-reflections/one-honest-breath/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/learn/buddhist-dictionary/metta/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/search/,large-phone,390,844,200,1,1,false,5,0,0,PASS
/tools/,large-phone,390,844,200,1,1,false,5,0,0,PASS
/about/,large-phone,390,844,200,1,1,false,5,0,0,PASS
/editorial-policy/,large-phone,390,844,200,1,1,false,5,0,0,PASS
/buddhist-sources-and-citations/,large-phone,390,844,200,1,1,false,5,0,0,PASS
/corrections/,large-phone,390,844,200,1,1,false,5,0,0,PASS
/contact/,large-phone,390,844,200,1,1,false,5,0,0,PASS
/meditation-safety/,large-phone,390,844,200,1,1,false,5,1,0,PASS
/404.html,large-phone,390,844,200,1,1,false,5,0,0,PASS
/,tablet,768,1024,200,1,1,false,5,0,0,PASS
/start-here/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/learn/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/learn/buddhism-for-beginners/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/learn/four-noble-truths/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/learn/eightfold-path/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/meditation/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/meditation/meditation-for-beginners/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/meditation/walking-meditation/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/articles/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/articles/four-noble-truths-explained-simply/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/quotes/,tablet,768,1024,200,1,1,false,5,0,0,PASS
/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,tablet,768,1024,200,1,1,false,5,0,0,PASS
/daily-reflections/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/daily-reflections/one-honest-breath/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/learn/buddhist-dictionary/metta/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/search/,tablet,768,1024,200,1,1,false,5,0,0,PASS
/tools/,tablet,768,1024,200,1,1,false,5,0,0,PASS
/about/,tablet,768,1024,200,1,1,false,5,0,0,PASS
/editorial-policy/,tablet,768,1024,200,1,1,false,5,0,0,PASS
/buddhist-sources-and-citations/,tablet,768,1024,200,1,1,false,5,0,0,PASS
/corrections/,tablet,768,1024,200,1,1,false,5,0,0,PASS
/contact/,tablet,768,1024,200,1,1,false,5,0,0,PASS
/meditation-safety/,tablet,768,1024,200,1,1,false,5,1,0,PASS
/404.html,tablet,768,1024,200,1,1,false,5,0,0,PASS
/,narrow-desktop,1024,800,200,1,1,false,5,0,0,PASS
/start-here/,narrow-desktop,1024,800,200,1,1,false,5,1,0,PASS
/learn/,narrow-desktop,1024,800,200,1,1,false,5,1,0,PASS
/learn/buddhism-for-beginners/,narrow-desktop,1024,800,200,1,1,false,5,1,0,PASS
/learn/four-noble-truths/,narrow-desktop,1024,800,200,1,1,false,5,1,0,PASS
/learn/eightfold-path/,narrow-desktop,1024,800,200,1,1,false,5,1,0,PASS
/meditation/,narrow-desktop,1024,800,200,1,1,false,5,1,0,PASS
/meditation/meditation-for-beginners/,narrow-desktop,1024,800,200,1,1,false,5,1,0,PASS
/meditation/walking-meditation/,narrow-desktop,1024,800,200,1,1,false,5,1,0,PASS
/articles/,narrow-desktop,1024,800,200,1,1,false,5,1,0,PASS
