formFactor,label,path,performanceScore,accessibilityScore,fcpMs,lcpMs,cls,tbtMs,speedIndexMs,totalByteWeight
mobile,Homepage,/,0.6,1,4517.2392500000005,7817.165,0,38,7196.499223966073,593186
mobile,Cornerstone article,/articles/four-noble-truths-explained-simply/,0.73,1,3160.3727499999995,5442.6485,0,45.5,3634.540828008068,516223
mobile,Learning page,/learn/buddhism-101/what-is-mindfulness/,0.62,1,4451.031750000001,6983.628000000001,0,33,6782.33037401923,507767
mobile,Quote story,/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,0.84,1,1805.901,4122.918,0,61,3920.535142000878,229250
mobile,Daily reflection,/daily-reflections/one-honest-breath/,0.84,1,1826.0020000000002,3974.567,0,71,3938.4586319913133,226297
mobile,Meditation page,/meditation/breathing-meditation/,0.85,1,1823.866,3907.873,0,26,3941.435640014136,227563
mobile,Topic hub,/quotes/mindfulness/,0.85,1,1818.1879999999999,3886.8249999999994,0,34,3941.694295965267,228897
mobile,Search,/search/,0.85,1,1827.2359999999999,3908.909,0,50,4030.2372020157823,224759
mobile,Tools,/tools/,0.83,1,2024.0860000000002,4139.961,0,39,4003.8599940164922,240998
mobile,Privacy,/privacy-policy/,0.84,1,1823.895,4025.194,0,24,3985.363447987556,224973
desktop,Homepage,/,0.99,1,645.197,906.6049999999999,0.0003632681237862187,0,715.7883461207649,677951
desktop,Cornerstone article,/articles/four-noble-truths-explained-simply/,1,1,577.865,577.8650000000001,0.0003632681237862187,0,587.6256159157914,516077
desktop,Learning page,/learn/buddhism-101/what-is-mindfulness/,1,1,561.2330000000001,616.672,0.0003632681237862187,0,657.0675788939856,508136
desktop,Quote story,/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,0.99,1,650.742,875.19,0.0003632681237862187,0,784.3367109887763,317133
desktop,Daily reflection,/daily-reflections/one-honest-breath/,0.99,1,619.497,833.2239999999999,0.0003632681237862187,0,619.497,226196
desktop,Meditation page,/meditation/breathing-meditation/,1,1,534.1360000000001,645.05,0.0003632681237862187,0,534.1360000000001,227582
desktop,Topic hub,/quotes/mindfulness/,0.99,1,583.9355,744.5830000000001,0.0003632681237862187,0,583.9355,359418
desktop,Search,/search/,0.99,1,582.746,741.842,0.0003632681237862187,0,582.746,224726
desktop,Tools,/tools/,0.99,1,682.645,764.912,0.0003632681237862187,0,682.645,241020
desktop,Privacy,/privacy-policy/,1,1,588.117,674.6859999999999,0.0003632681237862187,0,588.117,224976
