Country,Clicks,Impressions,CTR,Position
India,11,38,28.95%,25.29
United States,1,339,0.29%,47.52
Sri Lanka,1,32,3.12%,4.62
Thailand,1,14,7.14%,26
Hungary,1,1,100%,4
United Kingdom,0,176,0%,56.82
Canada,0,79,0%,69.9
Australia,0,42,0%,51.4
Vietnam,0,38,0%,31.47
New Zealand,0,19,0%,43.42
Philippines,0,13,0%,49.23
Indonesia,0,12,0%,28.75
Singapore,0,10,0%,72.9
Spain,0,9,0%,28.78
Netherlands,0,9,0%,33.78
Pakistan,0,9,0%,41
Morocco,0,8,0%,40
Germany,0,8,0%,49.75
Poland,0,7,0%,40.43
Malaysia,0,7,0%,44.14
Ukraine,0,6,0%,33.17
Mexico,0,5,0%,24.6
Jordan,0,4,0%,27
Russia,0,3,0%,19.33
Turkey,0,3,0%,31.67
Bangladesh,0,3,0%,43.67
Cambodia,0,3,0%,66.67
Austria,0,2,0%,4.5
Brazil,0,2,0%,24
Algeria,0,2,0%,24
France,0,2,0%,27
Denmark,0,2,0%,42
Ireland,0,2,0%,44.5
Saudi Arabia,0,2,0%,46
Egypt,0,2,0%,49.5
Israel,0,2,0%,55
South Korea,0,2,0%,60
Chile,0,1,0%,1
Ghana,0,1,0%,2
Bulgaria,0,1,0%,5
United Arab Emirates,0,1,0%,6
Belgium,0,1,0%,6
Croatia,0,1,0%,6
Brunei,0,1,0%,9
China,0,1,0%,9
Bhutan,0,1,0%,11
Sweden,0,1,0%,11
Trinidad & Tobago,0,1,0%,11
Uganda,0,1,0%,11
Uzbekistan,0,1,0%,34
Portugal,0,1,0%,35
Qatar,0,1,0%,36
Kazakhstan,0,1,0%,44
Romania,0,1,0%,88
